Trial Pos Threads Nodes One Two Draws Games Time
1776489260 james50.epd 1 10000 28 28 44 100 137.612768
1776489260 james50.epd 2 10000 33 29 38 100 90.56039
1776489260 james50.epd 4 10000 29 35 36 100 50.2391
1776489260 james50.epd 8 10000 44 31 25 100 25.91237
1776489260 james50.epd 16 10000 38 44 18 100 23.750875
1776489291 james50.epd 1 500000 8 11 81 100 6060.825258
1776489291 james50.epd 2 500000 11 5 84 100 3400.1746
1776489291 james50.epd 4 500000 14 17 69 100 2008.464352
1776489291 james50.epd 8 500000 10 13 77 100 964.262207
1776489291 james50.epd 16 500000 15 19 66 100 563.705577
1776524992 james50.epd 1 100000 20 20 60 100 1451.588826
1776524992 james50.epd 2 100000 25 27 48 100 810.007042
1776524992 james50.epd 4 100000 18 13 69 100 400.832492
1776524992 james50.epd 8 100000 16 22 62 100 199.368123
1776524992 james50.epd 16 100000 20 20 60 100 126.290039
